Portland ALA
2020-3-1

100
,Tanarae RUDISILL FORAN,49,F,19:01,22:35,,,,41:36:00,
,Melissa COURY,53,F,19:34,22:33,,,,42:07:00,
,Nicki GILRAY,54,F,21:38,22:31,,,,44:09:00,
,Debbie ALLEN,53,F,21:40,24:30:00,,,,46:10:00,
,Pamela FARNSWORTH,61,F,22:30,28:07:00,,,,50:37:00,
,Julie MCKIM,43,F,24:44:00,31:38:00,,,,56:22:00,
,Scott MILLER,51,M,6:30,,,,,6:30,
,Nicholi KHAJAVEI,40,M,7:32,,,,,7:32,
,John PAULEY,36,M,7:50,,,,,7:50,
,Tyler NETZEL,38,M,7:50,,,,,7:50,
,Ian FUKUDA,28,M,7:50,,,,,7:50,
,Michael PRIDE,48,M,7:55,,,,,7:55,
,Jason TALARICO,29,M,8:44,,,,,8:44,
,Michael BLACK,55,M,8:49,,,,,8:49,
,Zachary KORSTIAN,33,M,9:17,,,,,9:17,
,Alex KALETIN,24,M,9:17,,,,,9:17,
,Chris WEARN,35,M,9:26,,,,,9:26,
,Carter HANLEY,17,M,10:00,,,,,10:00,
,Mike NGUYEN,34,M,10:27,,,,,10:27,
,Sean EDELINE,35,M,10:27,,,,,10:27,
,Cyrus EVANADO,34,M,10:31,,,,,10:31,
,Daniel COWART,32,M,10:43,,,,,10:43,
,Blair DIR,31,F,11:04,,,,,11:04,
,Carolynn ASHTON,32,F,11:05,,,,,11:05,
,Tanya KALETINA,22,F,11:06,,,,,11:06,
,Anders JORVE,38,M,11:12,,,,,11:12,
,David BAGHDANOV,37,M,11:20,,,,,11:20,
,Celeste STRELCHECK,46,F,11:21,,,,,11:21,
,Mark STRELCHECK,42,M,11:22,,,,,11:22,
,Aimee FUNK,44,F,11:22,,,,,11:22,
,Susan HAAS,48,F,11:24,,,,,11:24,
,Julie SLACK,56,F,11:36,,,,,11:36,
,Jenna JORVE,39,F,11:36,,,,,11:36,
,Alexi BROOKS,27,M,11:36,,,,,11:36,
,Jerilyn GUPTON,59,F,11:51,,,,,11:51,
,Jessica COLE,43,F,11:53,,,,,11:53,
,Katie TAYLOR,37,F,11:56,,,,,11:56,
,Samantha MENESES,34,F,12:01,,,,,12:01,
,Tristan TRIPP,25,M,12:08,,,,,12:08,
,Brian COOK,35,M,12:09,,,,,12:09,
,Maggie HARRIS,31,M,12:11,,,,,12:11,
,Mateo CLEOFE,7,M,12:31,,,,,12:31,
,Danika STALLMAN,43,F,12:32,,,,,12:32,
,Michael SCOTT,49,M,12:41,,,,,12:41,
,Jessica THRAN,32,F,12:44,,,,,12:44,
,Cameron HANLEY,15,M,13:02,,,,,13:02,
