2023 Space Needle,,,,,,
2023-10-2,,,,,,
,,,,,,
,Carol Coram,,F70-79,9:17.1,557.1,
,Vincent Blot,,M40-49,9:17.5,557.5,
,Santhosh Kumar Ravindran,,M30-39,9:19.6,559.6,
,Gregory Oliden,,M40-49,9:20.7,560.7,
,Richard Russo,,M40-49,9:21.0,561,
,Nathan Narevsky,,M30-39,9:21.2,561.2,
,Alexander Gorinsky,,M40-49,9:23.1,563.1,
,Madeline McHale,,F18-29,9:23.1,563.1,
,Paul Lichon,,M60-69,9:23.3,563.3,
,Madeleine Fontillas Ronk,,Female-Elite,9:23.3,563.3,
,Ben Robinson,,M40-49,9:23.5,563.5,
,Anne Good,,F50-59,9:23.9,563.9,
,Janice Andrews,,F60-69,9:24.0,564,
,Sharon Olson,,F30-39,9:24.2,564.2,
,Sheryl Wilkins,,F60-69,9:24.3,564.3,
,Mona Engle,,F60-69,9:24.6,564.6,
,Parker Williams,,M18-29,9:25.6,565.6,
,Alison Parker,,F18-29,9:25.9,565.9,
,Jazmin Leader,,F30-39,9:26.4,566.4,
,Suzanne Brundage,,F30-39,9:26.6,566.6,
,Nabil Sadi,,M30-39,9:26.6,566.6,
,Johnna Raby,,F18-29,9:26.8,566.8,
,Steven Saunders,,M40-49,9:26.8,566.8,
,MARIA A OLSON,,F50-59,9:27.4,567.4,
,Carlos Ramirez,,M18-29,9:28.6,568.6,
,Sreya Sevugan,,F18-29,9:29.2,569.2,
,Michael Henderson,,M40-49,9:29.9,569.9,
,Linda Yen,,F30-39,9:30.0,570,
,Justin Calkins,,M30-39,9:30.6,570.6,
,Arika Matoba,,F18-29,9:31.2,571.2,
,Phil Lepanto,,M50-59,9:31.5,571.5,
,Nate Pearson,,M50-59,9:31.5,571.5,
,Kacey Figgat,,M30-39,9:32.1,572.1,
,Jesse Proudman,,M30-39,9:33.0,573,
,Tess Hansen,,F18-29,9:34.1,574.1,
,Brittany Marcelo,,F30-39,9:34.6,574.6,
,Joselyne Rivera,,F30-39,9:35.1,575.1,
,Lindsay White,,F18-29,9:35.5,575.5,
,Andy Hill,,M50-59,9:35.7,575.7,
,Jennifer Little,,F60-69,9:35.9,575.9,
,Matt Sanford,,M40-49,9:36.3,576.3,
,Brian Osborn,,M50-59,9:36.4,576.4,
,Jocelyn Waite,,F50-59,9:36.6,576.6,
,Anne LaFave,,Female-Elite,9:36.8,576.8,
,Erin Friesen 3,,F40-49,9:36.9,576.9,
,Holly Brauchli,,F30-39,9:40.0,580,
,Cortney Albrecht,,F40-49,9:40.5,580.5,
,Brandon Shoopman,,M30-39,9:40.7,580.7,
,Chunyuan Chao,,M50-59,9:41.0,581,
,Anita Khandelwal,,F40-49,9:41.3,581.3,
,AMY KHAN,,F50-59,9:41.6,581.6,
,Erin Friesen,,F40-49,9:41.9,581.9,
,Darcy Cain,,F30-39,9:42.0,582,
,Whitney Sheehan,,F30-39,9:42.2,582.2,
,Sung Rinzler,,F60-69,9:42.2,582.2,
,Mikael Pridon,,M18-29,9:42.2,582.2,
,Rob Fulwell,,M50-59,9:42.7,582.7,
,Gary Chimes,,M50-59,9:42.7,582.7,
,Chelsa VanGrunsven,,F30-39,9:44.0,584,
,Erin Friesen 4,,F40-49,9:44.2,584.2,
,Marissa Marcelo,,F30-39,9:44.2,584.2,
,Brianna Snyder,,F30-39,9:44.3,584.3,
,Christopher Stearn,,M50-59,9:44.4,584.4,
,Libby Kroner,,F40-49,9:44.7,584.7,
,James Snyder,,M40-49,9:45.7,585.7,
,Steven Cadwallader,,M60-69,9:46.5,586.5,
,Alisa Bagirova,,F30-39,9:46.5,586.5,
,James Krajnak 2,,M50-59,9:46.9,586.9,
,Vijay Paruchuru 4,,M40-49,9:47.2,587.2,
,Julie Meyer,,F50-59,9:47.3,587.3,
,Kathy Frostad Schroeder,,F50-59,9:47.6,587.6,
,Daniel Mog,,M40-49,9:47.7,587.7,
,Matthew Schreiber,,M50-59,9:47.9,587.9,
,Alex Domine,,M30-39,9:48.6,588.6,
,Anita Polt,,F50-59,9:49.0,589,
,Charles Williams,,M30-39,9:49.4,589.4,
,Vijay Paruchuru 5,,M40-49,9:49.4,589.4,
,Ben Coleman,,M30-39,9:50.1,590.1,
,Ruben Castilleja,,M40-49,9:50.2,590.2,
,Dan Baxter,,M50-59,9:50.2,590.2,
,Vijay Paruchuru 3,,M40-49,9:50.9,590.9,
,Florian Hladik 3,,M60-69,9:51.0,591,
,Mike Rowland,,M40-49,9:54.3,594.3,
,Henrietta Cottingham,,F60-69,9:54.4,594.4,
,Scott Walston,,M50-59,9:54.6,594.6,
,Alexander Klein,,M40-49,9:55.1,595.1,
,Brendyn Chao,,M18-29,9:55.2,595.2,
,Amy Holms,,F50-59,9:55.6,595.6,
,Mohit Garg,,M30-39,9:55.7,595.7,
,Michael Kitsis,,M50-59,9:55.8,595.8,
,Natosha Warnack,,NB30-39,9:55.9,595.9,
,Cindy Ishii,,F60-69,9:56.7,596.7,
,Melinda Eichner 2,,F30-39,9:57.5,597.5,
,Tyler VanGrunsven,,M30-39,9:57.7,597.7,
,Emma Mendez,,F18-29,9:58.0,598,
,Caity Connolly,,F30-39,9:58.5,598.5,
,Dennis Risser,,M30-39,9:59.0,599,
,James Forrest,,M50-59,9:59.0,599,
,Bryan Mayer,,M30-39,9:59.4,599.4,
,Asa McDonald,,M30-39,9:59.5,599.5,
,Peter Francis 2,,M70-79,9:59.6,599.6,
,Dennis Whetten,,M40-49,10:00.1,600.1,
,Vijay Paruchuru 2,,M40-49,10:00.1,600.1,
,Jesse Sandiford,,M50-59,10:00.3,600.3,
,Sarah Crowley,,F40-49,10:00.5,600.5,
,Russell Neufeld,,M50-59,10:00.6,600.6,
,Madeline Fontillas 2,,F50-59,10:02.4,602.4,
,Lily Anbarcioglu,,F18-29,10:02.5,602.5,
,Andrew Fiore-Gartland,,M40-49,10:02.7,602.7,
,Nichole Scaraglino,,F40-49,10:02.9,602.9,
,Sarah Miller,,F40-49,10:03.7,603.7,
,Dustin Ramsey,,M40-49,10:04.5,604.5,
,Colleen McDonald,,F50-59,10:04.8,604.8,
,Rai Nelson 4,,F40-49,10:05.1,605.1,
,Vanja Mrgan,,M30-39,10:05.5,605.5,
,Irene Stupka,,F50-59,10:06.9,606.9,
,Erin Friesen 5,,F40-49,10:07.3,607.3,
,Kellie MacPhee,,F30-39,10:07.6,607.6,
,Vijay Paruchuru 7,,M40-49,10:07.8,607.8,
,Andy Yun,,M30-39,10:07.8,607.8,
,Sheri Setzer 2,,F50-59,10:07.9,607.9,
,Amy Bowers,,F30-39,10:08.3,608.3,
,Steven Palmer,,M30-39,10:08.9,608.9,
,Stacy Lindbloom,,F30-39,10:09.1,609.1,
,Rachel May,,F18-29,10:09.3,609.3,
,Avery Butler,,F30-39,10:10.6,610.6,
,Quinn Kelso,,M18-29,10:10.8,610.8,
,Kevin Antoine,,M30-39,10:11.0,611,
,Cliff Redeker,,M40-49,10:11.0,611,
,Jeffrey Ricco 2,,M40-49,10:11.5,611.5,
,Kyle Freeman,,M40-49,10:12.2,612.2,
,Mark Green,,M40-49,10:13.0,613,
,Jack Harjehausen,,M18-29,10:14.3,614.3,
,Dan Hedges,,M60-69,10:14.5,614.5,
,Rory Flannery,,M18-29,10:14.5,614.5,
,Jack Meyer,,M18-29,10:14.5,614.5,
,Mark Heffernan,,M30-39,10:14.6,614.6,
,Carolina Singh,,F40-49,10:14.7,614.7,
,Sheri Setzer,,F50-59,10:15.1,615.1,
,Ashwin Venkataraman,,M18-29,10:15.9,615.9,
,Duncan Harper,,M40-49,10:16.0,616,
,Alix Strickland,,F40-49,10:16.1,616.1,
,Sheila Charles,,F50-59,10:17.5,617.5,
,Alexis Silver,,F18-29,10:18.2,618.2,
,Chris Voegele,,M40-49,10:18.7,618.7,
,Arthur Enyedy,,M60-69,10:18.9,618.9,
,Thales De Carvalho,,M50-59,10:19.0,619,
